id,name,text,trans
0000000000000,数学教師,よし、ずっと計算ばかりで、\n少し疲れただろう。,
0000000000000,数学教師,息抜きに、数学に関する\nちょっとしたクイズを出そう。,
0000000000000,数学教師,奇数と偶数の定義は、\nもちろん知っているな？,
0000000000000,数学教師,それでは、\n『0』は偶数と奇数のどっちだ？,
0000000000000,燕,（たしか、プロデューサーと\nこの話をしたな）,
0000000000000,燕,（正解は……）,
select,,偶数,
select,,奇数,
select,,どちらでもない,
0000000000000,数学教師,正解。\nさすがだな、雨夜。,
0000000000000,数学教師,意外と間違える者が多いが、\n0は偶数だ。,
0000000000000,数学教師,偶数の定義は、\n『2の倍数であること』。,
0000000000000,数学教師,そして、2×0の答えは0。つまり、\n条件を満たしているというわけだ。,
0000000000000,燕,（フッ、正解できたな！）,
0000000000000,燕,（それにしてもこの問題、\n間違える者が多いのか）,
0000000000000,燕,（……今度、星南に出してやろう）,
0000000000000,数学教師,残念ながら不正解。\n0は偶数だ。,
0000000000000,数学教師,『偶数は2の倍数』という\n定義で考えれば、分かりやすいだろう。,
0000000000000,数学教師,0＝2×0。ゆえに0は\n2の倍数であり、偶数というわけだ。,
0000000000000,燕,（くっ、得意教科の問題を\n外すとは、なんたる失態……！）,
0000000000000,燕,（二度と間違えないように、\n勉強しなおさなくては！）,
0000000000000,数学教師,不正解。\n0は偶数だ。,
0000000000000,数学教師,0は正でも負でもないため、\n偶数でも奇数でもないと思う者が多い。,
0000000000000,数学教師,だが、偶数の定義、\n『偶数は2の倍数』を思い出してみろ。,
0000000000000,数学教師,0＝2×0。ゆえに0は\n2の整数倍であり、偶数というわけだ。,
0000000000000,燕,（偶数の定義ではなく、\nイメージで答えてしまうとは……）,
0000000000000,燕,（得意教科でなんたる失態……\n勉強しなおさなくては！）,
info,adv_pevent_001_atbm_school_008.txt,,
译者,,,
