id,name,text,trans
0000000000000,佑芽,プロデューサーさんと\nカラオケだ！,
0000000000000,{user},そんなに意気込む必要は\nありませんよ。,
0000000000000,佑芽,だって気分はオーディションですよ！\n審査される気分です！,
0000000000000,{user},休日の息抜きですから、\nリラックスしてください。,
0000000000000,佑芽,本当ですか？\nじゃあ……,
0000000000000,佑芽,まずプロデューサーさんから、\n1曲お願いしますっ！,
select,,わかりました,
select,,それは……,
0000000000000,佑芽,なんだかプロデューサーさんの\n歌を聴くのも、緊張しますね……！,
0000000000000,佑芽,あーっ！\nやっぱり審査だ！,
0000000000000,{user},そういうわけでは……,
0000000000000,佑芽,じゃあどういうわけなんですかっ！,
0000000000000,佑芽,それを聞かないと、\nリラックスできませんよーっ！,
info,adv_pevent_001_hume_activity_018-01.txt,,
译者,,,
