id,name,text,trans
0000000000000,千奈,はぁ、はぁ……\n先生、とってもお上手です！,
0000000000000,{user},倉本さんこそ、カラオケでも\nレッスンのように一生懸命ですね。,
0000000000000,千奈,先生に聞いていただくのですもの。\n手は抜けませんわ！,
0000000000000,千奈,ではもう1曲！\n準備はよろしいでしょうか？,
select,,とことん\n付き合います,
select,,次のお楽しみに\nしましょう,
0000000000000,{user},おっと、時間ですね。\n今日はここまでです。,
0000000000000,千奈,はぁ……夢のようなひととき\nでございました。,
0000000000000,{user},そこまで感激されるとは。\nでは、また来ましょう。,
0000000000000,千奈,また！\nまたご一緒してくださるのですか？\n,
0000000000000,{user},それはもう。,
0000000000000,千奈,では、では来週！\nいえ、明日など……どうでしょうか！,
0000000000000,千奈,はぁ、ふぅ、ふぅ……\nも、もう限界ですわ……,
0000000000000,{user},（体力を使い切って\n　しまったようだ……）,
0000000000000,{user},大丈夫ですか？\n歩けますか？,
0000000000000,千奈,うぅ……立てませんわぁ～。,
0000000000000,{user},（もっと早くに\n　切り上げるべきだったか……）,
0000000000000,千奈,そんな！　わたくし、\nまだまだ先生と！,
0000000000000,{user},張り切りすぎると\nレッスンに影響が出ますから。,
0000000000000,{user},またいつだって来られますよ。,
0000000000000,千奈,また……また、ご一緒して\nくれるんですのね！,
0000000000000,千奈,ありがとうございます、\n先生っ！,
info,adv_pevent_001_kcna_activity_018-02.txt,,
译者,,,
