id,name,text,trans
0000000000000,広,プロデューサー。\n腕相撲、やってるよ。,
0000000000000,{user},……本当だ。商店街の企画\nでしょうか。,
0000000000000,広,勝ったら、粗品プレゼント。,
0000000000000,広,面白そう。,
0000000000000,{user},（……もしかして、\n　挑戦したいのかな？）,
select,,やってみますか,
select,,あまりにも無謀,
0000000000000,広,わたしが、勝てると思う？,
0000000000000,{user},だからやるんですよね？,
0000000000000,広,ふふ。そう。,
0000000000000,{user},相手は屈強な大男です。\n勝つ可能性は0パーセントです。,
0000000000000,{user},さすがにそんな勝負には\n送り出せませんね。,
0000000000000,広,すごい。本気で止めてる。,
0000000000000,{user},アイドルを目指すのとはわけが\n違いますからね。,
0000000000000,広,なら、仕方ないね。\nわかった。,
info,adv_pevent_001_shro_activity_018-01.txt,,
译者,,,
