id,name,text,trans
0000000000000,社会教師,海に接していない県を内陸県と呼ぶ。\n日本には8県あるんだが……,
0000000000000,社会教師,月村、問題だ。\n内陸県を1つ言ってみなさい。,
0000000000000,手毬,（海に接してない県……\n　プロデューサーが言ってたような）,
0000000000000,手毬,（なんか難しい……\n　こんなのアイドルに必要！？）,
select,,奈良県,
select,,岡山県,
select,,ムンバイ市街県,
0000000000000,社会教師,正解！\n他にも長野や埼玉がそうだ。,
0000000000000,社会教師,奈良は大仏や鹿で有名だな。\n柿の葉寿司なんかも名物だ。,
0000000000000,社会教師,こんなふうに別の事柄と関連付けると\n覚えやすいぞ。,
0000000000000,手毬,（お寿司……\n　…………お腹すいてきちゃった）,
0000000000000,社会教師,残念。\n正解は奈良県だ。,
0000000000000,社会教師,岡山は海に面している。瀬戸大橋で\n四国と繋がってるのが有名だな。,
0000000000000,社会教師,内陸県があるのは関東、中部、近畿\nだけだから、覚えておくといい。,
0000000000000,手毬,（なんの役に立つかは\n　わからないけど……）,
0000000000000,手毬,（もう覚えてしまったから、\n　どこかで使おう）,
0000000000000,社会教師,……インドにも『県』という区分が\nあることを、よく知っていたな。,
0000000000000,社会教師,だが答えは日本の県だ。\n奈良県や山梨県がそうだな。,
0000000000000,社会教師,ちなみにムンバイは海沿いなので、\nそういう意味でもはずれだ。,
0000000000000,手毬,（だって、だってプロデューサーが\n　言ってたから……）,
0000000000000,手毬,（そう！　プロデューサーの\n　せいだから！）,
info,adv_pevent_001_ttmr_school_008.txt,,
译者,,,
