id,name,text,trans
0000000000000,{user},もうビニール袋がいっぱいですね。\n誰よりも早いですよ。,
0000000000000,麻央,体力には自信がありますから。\nそれにしても多いですね、ゴミ。,
select,,今日、\nなくなります,
select,,減らして\nいきましょう,
select,,そのための\n仕事です,
0000000000000,麻央,それ、\nボクがなくすってことですよね？,
0000000000000,{user},丁寧にゴミを拾えば、\nその姿勢が評価されるはずだ。,
0000000000000,麻央,啓蒙活動、ですよね。\nみんなの意識が変わるといいなあ。,
0000000000000,{user},丁寧にゴミを拾えば、\nその姿勢が評価されるはずだ。,
0000000000000,麻央,じゃあ、説得力が出せるよう、\nしっかり綺麗にしなきゃですね。,
0000000000000,{user},丁寧にゴミを拾えば、\nその姿勢が評価されるはずだ。,
info,adv_pevent_002_amao_sales_2-001-01.txt,,
译者,,,
