id,name,text,trans
0000000000000,燕,新作ゲームの、\n体験動画撮影か……,
0000000000000,{user},今日やっていただくのは、\n体感型ゲームですね。,
0000000000000,{user},まず、\nプレイしていただきたいのは……,
select,,爽快剣戟\nバッサリソード,
select,,銃嵐舞闘\nツインブラスター,
select,,操縦機甲ロボット\nマイスター,
0000000000000,燕,敵を斬るゲームか。\nフッ、私の得意分野だな。,
0000000000000,{user},一生懸命プレイする雨夜さんの姿が\nバズってる。完璧な宣伝になったな！,
0000000000000,燕,見ておけ。私の二丁拳銃で\n華麗に敵を倒してみせよう。,
0000000000000,{user},一生懸命プレイする雨夜さんの姿が\nバズってる。完璧な宣伝になったな！,
0000000000000,燕,ほう……ロボットの操縦か。\n今すぐプレイするぞ！,
0000000000000,{user},一生懸命プレイする雨夜さんの姿が\nバズってる。完璧な宣伝になったな！,
info,adv_pevent_002_atbm_sales_4-005-02.txt,,
译者,,,
