id,name,text,trans
0000000000000,ことね,今日のお仕事はぁ～\n遊園地のショーの司会進行～♪,
0000000000000,ことね,司会って、どんなことを\n意識したらいーですかね？,
select,,臨機応変な\n対応を,
select,,観客の反応を\nよく見て,
select,,尺に気を付けて,
0000000000000,ことね,りょーかいですっ！\nなにが起こっても、柔軟にいきます！,
0000000000000,{user},すごい盛り上がりだ……！\n藤田さんの司会も完璧だな！,
0000000000000,ことね,そこはアイドルと一緒ですねっ！\n任せてくださいっ♪,
0000000000000,{user},すごい盛り上がりだ……！\n藤田さんの司会も完璧だな！,
0000000000000,ことね,わかりました！\nもし押してたら、合図お願いしますっ！,
0000000000000,{user},すごい盛り上がりだ……！\n藤田さんの司会も完璧だな！,
info,adv_pevent_002_fktn_sales_1-004-02.txt,,
译者,,,
