id,name,text,trans
0000000000000,咲季,今日はここで1日サバイバルねっ！,
0000000000000,{user},残念ながら違います。\nキャンプ場のウリを宣伝してください。,
select,,鍾乳洞です,
select,,トレイル\nコースです,
select,,ラフティング\nです,
0000000000000,咲季,そういえば聞いたことあるわね。\n楽しそうじゃない！,
0000000000000,{user},すごい体力だ。こういったジャンル\nは敵なしだな……！,
0000000000000,咲季,準備は抜かりなしよ。\nわたしにピッタリじゃない♪,
0000000000000,{user},すごい体力だ。こういったジャンル\nは敵なしだな……！,
0000000000000,咲季,いいじゃない！　ここのことを\n知ってから、やりたかったのよ！,
0000000000000,{user},すごい体力だ。こういったジャンル\nは敵なしだな……！,
info,adv_pevent_002_hski_sales_3-006-02.txt,,
译者,,,
