id,name,text,trans
0000000000000,{user},アイドル青春ものの映画です。\nぴったりの題材ですね。,
0000000000000,星南,本物のアイドルからのコメントなんて、\n偉そうに聞こえないかしら……？,
select,,正直な感想\nを言って,
select,,いい言い回しを\n知っています,
select,,自分が言われて\n嬉しいことを,
0000000000000,星南,そうね……面白かったことを、\nちゃんと伝えれば大丈夫よね。,
0000000000000,{user},白熱したプロとプロのトークだった。\n映画の見方も変わるかもしれないな。,
0000000000000,星南,さすが『先輩』。\nさっそく教えて頂戴。,
0000000000000,{user},白熱したプロとプロのトークだった。\n映画の見方も変わるかもしれないな。,
0000000000000,星南,それがコメントのコツ？\nわかった……試してみるわ。,
0000000000000,{user},白熱したプロとプロのトークだった。\n映画の見方も変わるかもしれないな。,
info,adv_pevent_002_jsna_sales_4-004-02.txt,,
译者,,,
