id,name,text,trans
0000000000000,{user},今日はあるジュースについて\nインタビューをするお仕事です。,
0000000000000,千奈,とってもしゅわしゅわで大変でしたわ！\n先生はどうでしたか？,
select,,しゅわしゅわ\nでした,
select,,もっと強くても\nいいですね,
select,,もっと弱いほう\nが好きです,
0000000000000,千奈,先生も同意見なら安心ですわ！\nみなさんにもうかがってきます！,
0000000000000,{user},言い方がウケたようで、SNSで\n『しゅわしゅわ』がバズった……,
0000000000000,千奈,もっと！？\nもっととは、もっとですか！？,
0000000000000,{user},言い方がウケたようで、SNSで\n『しゅわしゅわ』がバズった……,
0000000000000,千奈,わたくしも、ちょっとだけ\n口が痛かったですわ……,
0000000000000,{user},言い方がウケたようで、SNSで\n『しゅわしゅわ』がバズった……,
info,adv_pevent_002_kcna_sales_1-003-02.txt,,
译者,,,
