id,name,text,trans
0000000000000,広,商店街の町興しイベントの盛り上げ役？,
0000000000000,広,わたしに向いてなさそうな仕事……,
0000000000000,広,具体的に、どんなことをすればいいの？,
select,,入り口で\n呼び込みを,
select,,カラオケ大会\nイベントの案内を,
select,,天川のみなさんと\n交流を,
0000000000000,広,わかった。声が枯れるまで、\n呼び込んでくる、ね。,
0000000000000,{user},篠澤さん……すっかり、\n商店街のアイドルになってしまったな。,
0000000000000,広,案内、がんばる。\nたくさん来てくれると、いい、な。,
0000000000000,{user},篠澤さん……すっかり、\n商店街のアイドルになってしまったな。,
0000000000000,広,うん。みんなとなかよく、なれるかな。,
0000000000000,{user},篠澤さん……すっかり、\n商店街のアイドルになってしまったな。,
info,adv_pevent_002_shro_sales_2-002-02.txt,,
译者,,,
