id,name,text,trans
0000000000000,ボーカルトレーナー,今冬の『H.I.F』は、\n審査員も大物揃いです。,
0000000000000,ボーカルトレーナー,そんな審査員たちを相手に、\n歌で何を意識するべきでしょうか？,
select,,場に飲まれず歌う,
select,,歌と表現の\n完全な一体化,
select,,個性を活かした\nアピール,
0000000000000,ボーカルトレーナー,それも正解ですね～。,
0000000000000,ボーカルトレーナー,周囲を気にせず、全力で、\n自分の歌を真っすぐ届ける……,
0000000000000,ボーカルトレーナー,基礎であり、\n重要なことのひとつですよ～。,
0000000000000,ボーカルトレーナー,ふふっ、\nとってもいい視点ですね～。,
0000000000000,ボーカルトレーナー,歌と表現が一体化した、最高の\nパフォーマンスは、人を感動させます。,
0000000000000,ボーカルトレーナー,それを披露できるように、\n頑張っていきましょうね～。,
0000000000000,ボーカルトレーナー,それも大事な視点ですね～♪,
0000000000000,ボーカルトレーナー,個性とは、唯一無二の輝きであり、\n人の心に残る大切な力です。,
0000000000000,ボーカルトレーナー,そこを意識しながら、\n挑んでくださいね～。,
info,adv_pevent_003_cmmn_school_1-002.txt,,
译者,,,
