id,name,text,trans
0000000000000,あさり先生,『H.I.F』が注目される理由、\n『<r\=プリマステラ>一番星</r>』十王星南さん……,
0000000000000,あさり先生,担当プロデューサーとして、\n彼女のどこが優れていると思いますか？,
select,,勝利への執念,
select,,アイドルへの情熱,
select,,数値では\n測れない力,
0000000000000,あさり先生,たしかに。\nプロデュースの方針とはいえ……,
0000000000000,あさり先生,成長して勝利するために、これまでの\nイメージを崩す決断ができる。,
0000000000000,あさり先生,その執念こそが、彼女を\n『<r\=プリマステラ>一番星</r>』へと導いたのでしょうね。,
0000000000000,あさり先生,たしかにそれも、\n十王さんの強力な武器ですね。,
0000000000000,あさり先生,アイドルを誰よりも愛するからこそ、\n一切の妥協を許さず、高みを目指す……,
0000000000000,あさり先生,その執念こそが、彼女を\n『<r\=プリマステラ>一番星</r>』へと導いたのでしょうね。,
0000000000000,あさり先生,それも正解ですね。彼女より、\n技術が高いアイドルはいますが……,
0000000000000,あさり先生,それでも彼女が、\nもっともファンを夢中にさせている。,
0000000000000,あさり先生,まさに、数値では計れない力……\nトップアイドルに相応しいですね。,
info,adv_pevent_003_cmmn_school_1-006-02.txt,,
译者,,,
