id,name,text,trans
0000000000000,{user},（秦谷さんの調子は、\nどうだろうか……）,
0000000000000,美鈴,………………ふぅ。,
0000000000000,{user},調子はいかがですか？,
0000000000000,美鈴,プロデューサー。\n実は……調子が悪いんです。,
select,,連日くもり\nだからですか？,
select,,連日\n晴れているのに？,
select,,連日\n雨ですからね,
0000000000000,美鈴,はい……これでは……\nのんびりお昼寝ができません。,
0000000000000,{user},そのぶんレッスンに励んでくれるので、,
0000000000000,{user},プロデューサーとしては\nありがたい限りです。,
0000000000000,美鈴,まあ、ひどい。\nアイドルの不調を喜ぶなんて。,
0000000000000,美鈴,……あら、その本は？,
0000000000000,{user},雨乞いの儀式について\n勉強していたんです。,
0000000000000,{user},ちょうどよく……\nくもりにする方法はないものか、と。,
0000000000000,美鈴,…………やめてください。\n本当に効果がありそうです。,
0000000000000,美鈴,おかげさまで\n気持ちの良いお昼寝でした。,
0000000000000,{user},……………………そうですか。,
0000000000000,美鈴,ぐっすりと眠ったのに……\n身体が痛いんです。,
0000000000000,美鈴,なんだか身体が重いような。\n首が痛いような……,
0000000000000,{user},もしかして……\n寝違えていませんか？,
0000000000000,美鈴,まぁ……言われてみれば\n最近、枕を変えていました。,
0000000000000,美鈴,早速枕を戻して\n確かめてみなければ――,
0000000000000,美鈴,ありがとうございます。,
0000000000000,美鈴,プロデューサーとお話ししていたら、\n悩みが解決してしまいました。,
0000000000000,美鈴,雨は……好きなんです。,
0000000000000,美鈴,静かな雨音を聞いていると、\n落ち着きます。,
0000000000000,美鈴,ただ……昨日、\nにわか雨に濡れてしまって。,
0000000000000,{user},では、今日のレッスンは\nお休みにしましょう。,
0000000000000,{user},保健室に行って、\n診てもらいましょうね。,
0000000000000,美鈴,まあ……今日のプロデューサーは\nお優しいのですね。,
0000000000000,美鈴,ふふ……たまには不調も、\n悪くないかもしれません。,
info,adv_pstory_001_hmsz_after-step-2-normal-03.txt,,
译者,,,
