id,name,text,trans
0000000000000,{user},篠澤さん、合格です。,
0000000000000,広,うん、やった、ね。,
0000000000000,広,プロデューサー……わたし、\nいまから、すごいことを言う。,
0000000000000,広,覚悟をして聞いてほしい。,
0000000000000,{user},こんなに恐ろしい前振りは、\n人生初体験です。……どうぞ。,
0000000000000,広,オーディションが簡単すぎる。,
0000000000000,{user},調子に乗ってますか？,
0000000000000,広,誤解しないでほしい。正確にいうと……\nわたしの勝ち目が高すぎるのが問題。,
0000000000000,広,概算で、勝率10パーセント以下の\nオーディションに出たい。,
0000000000000,{user},その方針を貫くと、あなたの\nプロデューサーは落第待ったなしです。,
0000000000000,広,そっか……じゃあ、がまんする。,
0000000000000,{user},ああ……我慢する必要はありません。\n近々、お望みの状況がやってきますよ。,
0000000000000,広,敗色濃厚なオーディションを、\n選んでくれる？,
0000000000000,{user},篠澤さんのアイドルとしての力量が、\nあともうすこし……上がったなら。,
0000000000000,広,わかった。じゃあ……\nわたし、もっとがんばるね。,
info,adv_pstory_002_shro_after-audition-final-normal-01.txt,,
译者,,,
