id,name,text,trans
0000000000000,担任教師,今日は定期試験が近いこともあり、\n自習時間をレッスンにあててよし。,
0000000000000,担任教師,プロデューサーがいるものは\n相談して決めなさい。,
0000000000000,咲季,……なるほど。だからあなたが\nここにいるわけね。,
0000000000000,咲季,わたしはなんでもいいけど、\nなにを重点的にすればいい？,
0000000000000,{user},（さて、今日のレッスンは……）,
select,,ボーカルレッスン,
select,,ダンスレッスン,
select,,ビジュアル\nレッスン,
0000000000000,咲季,ボーカルを鍛えるのね。\nいいじゃない。,
0000000000000,咲季,それじゃ、楽譜を用意するわ。,
0000000000000,咲季,やった！　体を動かすの、\n好きだものね！,
0000000000000,咲季,どんな難しいステップでもいいわよ？\nさ、始めましょ♪,
0000000000000,咲季,ビジュアルかぁ。\nそうね、悪くないと思うわ。,
0000000000000,咲季,じゃあ移動しましょっか。\nなんでもこいだわ！,
info,adv_pevent_001_hski_school_011.txt,,
译者,,,
