id,name,text,trans
0000000000000,千奈,先生、わたくしのプロデュース、\nいつもありがとうございます。,
0000000000000,{user},こちらこそ……じゃなくて、\n急にどうしたんですか？,
0000000000000,千奈,なにかお礼をと考えに考え……\n思い至ったのです！,
0000000000000,千奈,肩たたきなど、いかがかと！,
select,,お願いします,
select,,気が引けますね,
select,,もっと後で\nいただきます,
0000000000000,千奈,よろしいのですかっ！？,
0000000000000,{user},せっかくのご厚意ですし、\nよりよいプロデュースでお返しします。,
0000000000000,千奈,ありがとうございますっ！\nそれでは……,
0000000000000,{user},えっ。\nここでですか？,
0000000000000,千奈,もちろんですっ！\nさあ、お背中をどうぞ！,
0000000000000,千奈,ど、どうしてですかっ！？,
0000000000000,{user},頑張っているのは倉本さんですから。\nもらいっぱなしというのも。,
0000000000000,千奈,お気になさらずっ！,
0000000000000,千奈,わたくしがして差し上げたいのです。\nお受け取りください！,
0000000000000,千奈,……それはいつですか？,
0000000000000,{user},倉本さんが試験に合格したらです。\nお礼というなら、そのときに。,
0000000000000,{user},それまで、倉本さんには\n前を見続けてほしいんです。,
0000000000000,千奈,先生……！,
0000000000000,千奈,では見事合格し……その暁には\n精一杯お叩きいたしますわっ！,
info,adv_pevent_001_kcna_activity_012.txt,,
译者,,,
