id,name,text,trans
0000000000000,{user},（麻央さんの様子を見に行こう……）,
0000000000000,{user},（あれ、麻央さんの姿が見えない。\nいったい、どこに……）,
0000000000000,{user},……って、麻央さん！？,
0000000000000,麻央,ん、プロデューサー？,
0000000000000,{user},だ、大丈夫ですか！？\nなにがあったんですか！？,
0000000000000,麻央,……わ！　だ、大丈夫ですから、\n落ち着いてください。,
0000000000000,麻央,床で横になってただけですよ。,
0000000000000,{user},……どうして床に？,
0000000000000,麻央,今日はなんだか、すごく調子がよくて、\nレッスンに熱が入ってしまって、,
0000000000000,麻央,火照った身体を冷ますために、\n寝転んで休んでいたんです。,
0000000000000,麻央,ひんやりして気持ちいいですよ。\nプロデューサーもどうですか？,
select,,無理は禁物ですよ,
select,,絶好調ですね,
select,,本当に\n大丈夫ですか？,
0000000000000,{user},調子がいいからといって、あまり\n無理をしないでください。,
0000000000000,{user},気力はあっても、身体のほうには\n見えない疲労がたまります。,
0000000000000,麻央,……すみません。つい……\n今後は気をつけます。,
0000000000000,麻央,でも、気持ちいいですね。\nゾーンって言うんでしたっけ。,
0000000000000,麻央,ステージでこの状態になれたら、\n最高のパフォーマンスができますよ。,
0000000000000,{user},ステージで倒れられては困ります。,
0000000000000,麻央,あ、そうですね。でも、\n今日は本当に調子がいいんです。,
0000000000000,麻央,せっかくのボーナスタイムなので、\nどんどん成長しちゃいますよ。,
0000000000000,麻央,はい、すごく身体が軽くて、\nダンスのキレも、声の伸びも、,
0000000000000,麻央,まさにパーフェクトコンディション\nって感じです。,
0000000000000,麻央,ちょっとだけ、\n背も伸びてますよ！,
0000000000000,{user},……それはないかと。,
0000000000000,麻央,……こほん。と、とにかく、\n今のボクはスーパースター状態です。,
0000000000000,麻央,どんどんレッスンして、\n成長してみせますよ！,
0000000000000,麻央,はい、身体がふわって軽くなって、\nすごく気持ちよく踊れたんです。,
0000000000000,{user},（ランナーズハイ。いわゆる、\nゾーンに入った状態……）,
0000000000000,{user},（ただ、あまり続くようだと、あとで\n一気に疲労がきそうだな）,
0000000000000,麻央,いまのこの調子を最終試験まで\nキープできれば、,
0000000000000,麻央,きっと、トップ合格できますよ。,
0000000000000,{user},……麻央さん、今日のレッスンは、\nお休みしましょう。,
0000000000000,麻央,ええっ？　せっかく調子がいいのに。\nボクはまだ大丈夫ですよ。,
0000000000000,{user},レッスンノルマはこなしているので、\nこれ以上はかえって負担をかけます。,
0000000000000,{user},疲労した身体をゆっくり休めて、\n明日からのレッスンにそなえましょう。,
0000000000000,麻央,……むう、キミがそう言うなら、\nわかりました。今日はお休みします。,
0000000000000,麻央,ふふ……でも、今日はすっごく\n成長できた気がします！,
info,adv_pstory_001_amao_after-step-2-normal-01.txt,,
译者,,,
