id,name,text,trans
0000000000000,手毬,プロデューサー！　どういうこと！！,
0000000000000,{user},ど、どうしたんですか……月村さん。,
0000000000000,手毬,とぼけないで！,
0000000000000,手毬,私の食事、ずっとプロデューサーが\n用意してくれていましたよね！,
0000000000000,手毬,なんでニンジンとかシイタケとか、\n私の苦手なものばっかり入れるの！,
0000000000000,手毬,私の嫌いな食べ物、\n知り尽くしてるくせにぃっ！,
select,,最近の成績が\nひどかったから,
select,,ちっとも言うこと\nを聞かないから,
0000000000000,手毬,くぅぅ……！\nそ、それは……そうですけど！！,
0000000000000,手毬,こういうやり方は……\nあまりにもひどいと思います！！,
0000000000000,{user},自分で自分を罰する気が、\nなくなりましたか？,
0000000000000,手毬,えっ？,
0000000000000,{user},自分への罰は、数日間、嫌いなものを\n食べる、くらいにしておきましょう。,
0000000000000,手毬,………プロデューサーの\nそういうところ、キライです。,
0000000000000,手毬,だからって……！　こ、こんな……\n許されると思っているんですか！,
0000000000000,{user},……さすがに\n献立にニンジンを入れたくらいで、,
0000000000000,{user},そこまで言われるとは\n思いませんでした。,
0000000000000,手毬,シイタケもですっ！！　\nレンコンもですっ！！,
0000000000000,{user},そうですか。,
0000000000000,手毬,またそうやって……\n気のない返事をする……,
0000000000000,手毬,プロデューサーって、\n本当に性格悪いですよね。,
0000000000000,手毬,人として最低です。弱みに付け込んで\nアイドルを脅すなんて。,
0000000000000,{user},誤解を招く言い方はやめてください。,
0000000000000,手毬,ふん。,
0000000000000,手毬,……こんなことになったのも、\n私の実力が足りなかったからだ。,
0000000000000,手毬,次こそは圧倒的な結果を残して、\nプロデューサーを黙らせてみせるから。,
0000000000000,{user},そのときは、好きなものを\n食べさせてあげますよ。,
0000000000000,手毬,……約束したから。,
info,adv_pstory_001_ttmr_ending-normal-05.txt,,
译者,,,
